"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"① 재생에너지",폐기물 (MWh),산업폐기물,소계,91821,-,-,-,8024,5539,-,-,3834,33329,-,13407,9675,8420,1544,6000,2049,-,108574,-,-,-,7184,6438,93,-,3696,36705,-,18418,9395,8114,10496,6314,1721,-,142400,-,-,-,8705,6510,116,-,3599,35809,-,30180,9059,6875,34373,5563,1611,-
"① 재생에너지",폐기물 (MWh),산업폐기물,사업용,90776,-,-,-,8024,5539,-,-,3834,33317,-,12374,9675,8420,1544,6000,2049,-,98312,-,-,-,7172,6438,-,-,3696,36705,-,17686,9395,8114,1070,6314,1721,-,139179,-,-,-,6556,6510,-,-,3599,35809,-,29224,9059,6875,34373,5563,1611,-
"① 재생에너지",폐기물 (MWh),산업폐기물,자가용,1045,-,-,-,-,-,-,-,-,12,-,1033,-,-,-,-,-,-,10263,-,-,-,12,-,93,-,-,-,-,732,-,-,9426,-,-,-,3221,-,-,-,2149,-,116,-,-,-,-,956,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),생활폐기물,소계,187677,45912,2344,1801,446,-,-,3046,-,39691,3449,7203,1957,5465,-,24203,15215,36946,222835,69477,2091,1852,2094,-,-,3155,-,39406,3091,5017,1955,13135,-,24549,13981,43033,173702,69288,2916,3768,153,-,-,1249,367,28782,2927,3807,1980,10847,-,14030,14100,19487
"① 재생에너지",폐기물 (MWh),생활폐기물,사업용,91181,30884,-,64,-,-,-,-,-,6208,2934,-,1151,-,-,13992,1795,34154,128370,53392,-,47,-,-,-,-,-,6533,2494,-,1075,8185,-,14791,1908,39945,116984,57044,-,-,153,-,-,-,-,13927,2844,1940,1144,10847,-,8252,3303,17528
"① 재생에너지",폐기물 (MWh),생활폐기물,자가용,96496,15028,2344,1737,446,-,-,3046,-,33484,515,7203,806,5465,-,10211,13420,2792,94465,16085,2091,1805,2094,-,-,3155,-,32873,597,5017,879,4950,-,9758,12073,3088,56718,12244,2916,3768,-,-,-,1249,367,14855,83,1867,836,-,-,5778,10797,1959
"① 재생에너지",폐기물 (MWh),SRF,소계,159639,-,41114,3451,-,-,533,2284,1219,52,21342,-,5629,2026,60286,21703,-,-,139211,-,37415,3144,-,-,2590,3037,1007,2,19794,-,2002,51,50640,19526,-,-,97427,-,25503,-,-,-,3762,3283,285,-,11157,1262,430,25,43099,8623,-,-
"① 재생에너지",폐기물 (MWh),SRF,사업용,155654,-,41114,-,-,-,-,2284,1219,52,21342,-,5629,2026,60286,21703,-,-,133286,-,37226,-,-,-,-,3037,1007,2,19794,-,2002,51,50640,19526,-,-,93665,-,25503,-,-,-,-,3283,285,-,11157,1262,430,25,43099,8623,-,-
"① 재생에너지",폐기물 (MWh),SRF,자가용,3984,-,-,3451,-,-,533,-,-,-,-,-,-,-,-,-,-,-,5924,-,190,3144,-,-,2590,-,-,-,-,-,-,-,-,-,-,-,3762,-,-,-,-,-,3762,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"② 신에너지",연료전지 (MWh),소계,소계,3544354,341090,184330,7851,953427,3227,31727,13930,39734,1232451,49176,617,458230,8638,168067,32031,19637,191,4798120,438474,293478,14701,1497473,4557,37794,55559,43834,1453062,148294,54965,453170,11215,229324,36159,25672,390,5409625,334996,327973,14947,1347243,64940,84631,216800,40394,1545077,276081,206224,488720,111198,292191,29233,28593,383
"② 신에너지",연료전지 (MWh),사업용,소계,3485608,335040,183222,5502,951857,-,7799,11747,39664,1223956,48906,-,456645,8008,166746,27846,18669,-,4727370,431255,291136,11864,1494508,272,12634,54141,43763,1442562,147679,54122,451192,9959,227154,31650,23479,-,5329684,326914,324708,11544,1342785,60324,59605,215409,40324,1532633,275216,205222,486304,109439,289705,24164,25388,-
